CustomerID,Tenure,ContractType,InternetService,PaymentMethod,MonthlyCharges,TotalCharges,NumSupportCalls,SeniorCitizen,Partner,PaperlessBilling,Churn
CUST10027,59,Month-to-Month,No,Bank Transfer,59.13,3341.25,1,0,No,No,No
CUST10028,39,One Year,Fiber Optic,Credit Card,85.72,3050.87,1,0,No,Yes,No
CUST10029,31,Month-to-Month,Fiber Optic,Electronic Check,107.65,3276.63,2,0,No,Yes,Yes
CUST10030,32,One Year,Fiber Optic,Electronic Check,114.96,3656.49,3,0,Yes,Yes,Yes
CUST10031,16,One Year,DSL,Mailed Check,94.67,1389.45,2,1,Yes,Yes,Yes
CUST10032,6,Month-to-Month,DSL,Credit Card,65.64,372.68,0,0,Yes,Yes,No
CUST10033,39,Two Year,DSL,Bank Transfer,59.58,2114.97,0,0,No,Yes,No
CUST10034,63,Month-to-Month,No,Credit Card,79.4,4671.62,2,0,Yes,No,Yes
CUST10035,4,One Year,Fiber Optic,Mailed Check,106.85,387.44,2,0,Yes,Yes,Yes
CUST10036,61,Month-to-Month,Fiber Optic,Mailed Check,75.84,4286.0,0,0,No,Yes,Yes
CUST10037,59,Month-to-Month,DSL,Bank Transfer,76.36,4500.84,2,0,Yes,No,No
CUST10038,19,Month-to-Month,DSL,Credit Card,66.28,1139.0,1,0,No,Yes,Yes
CUST10039,45,Month-to-Month,Fiber Optic,Mailed Check,56.8,2519.95,1,0,No,Yes,No
CUST10040,11,Month-to-Month,Fiber Optic,Bank Transfer,60.95,608.6,1,0,Yes,Yes,Yes
CUST10041,54,One Year,No,Credit Card,68.39,3519.12,2,0,No,No,No
CUST10042,50,One Year,Fiber Optic,Mailed Check,107.95,5101.78,0,0,No,Yes,No
CUST10043,25,One Year,Fiber Optic,Credit Card,59.01,1465.15,1,0,Yes,Yes,No
CUST10044,4,Month-to-Month,Fiber Optic,Bank Transfer,66.32,244.03,1,0,No,Yes,Yes
CUST10045,69,Month-to-Month,No,Credit Card,43.37,2747.05,4,1,Yes,No,Yes
CUST10046,32,Month-to-Month,Fiber Optic,Mailed Check,82.92,2586.76,1,0,Yes,No,No
CUST10047,64,One Year,Fiber Optic,Bank Transfer,99.17,6172.8,1,0,Yes,No,No
CUST10048,48,Two Year,No,Mailed Check,105.61,4916.79,0,1,No,No,No
CUST10049,56,Month-to-Month,DSL,Bank Transfer,70.08,3542.29,1,1,No,Yes,Yes
CUST10050,54,One Year,No,Mailed Check,79.36,3968.3,1,0,No,Yes,No
CUST10051,14,Month-to-Month,DSL,Bank Transfer,61.16,842.53,3,0,No,Yes,Yes
CUST10052,26,Month-to-Month,Fiber Optic,Credit Card,78.2,1952.05,0,0,Yes,Yes,Yes
CUST10053,33,Month-to-Month,Fiber Optic,Mailed Check,72.85,2308.42,0,1,Yes,Yes,Yes
CUST10054,35,Month-to-Month,Fiber Optic,Mailed Check,66.46,2162.32,0,0,Yes,Yes,Yes
CUST10055,3,One Year,Fiber Optic,Mailed Check,68.44,190.13,1,0,No,No,Yes
CUST10056,39,Two Year,Fiber Optic,Bank Transfer,76.3,2959.8,1,0,Yes,No,No
CUST10057,11,Month-to-Month,DSL,Bank Transfer,57.65,616.89,1,0,No,Yes,Yes
CUST10058,53,Month-to-Month,DSL,Bank Transfer,58.94,2851.07,1,0,No,Yes,No
CUST10059,49,One Year,DSL,Electronic Check,107.68,5243.45,0,0,Yes,Yes,No
CUST10060,66,Two Year,Fiber Optic,Electronic Check,120.0,7589.24,1,0,Yes,Yes,No
CUST10061,53,One Year,Fiber Optic,Electronic Check,34.89,1725.9,4,0,No,Yes,No
CUST10062,26,Month-to-Month,DSL,Credit Card,33.51,818.74,1,1,Yes,Yes,Yes
CUST10063,69,One Year,No,Credit Card,41.07,2756.01,2,0,No,Yes,No
CUST10064,29,Month-to-Month,Fiber Optic,Electronic Check,62.42,1697.27,0,0,No,No,Yes
CUST10065,23,Two Year,Fiber Optic,Electronic Check,87.39,1925.3,1,0,Yes,Yes,Yes
CUST10066,65,Month-to-Month,Fiber Optic,Credit Card,79.78,5035.57,0,0,Yes,Yes,Yes
CUST10067,26,One Year,DSL,Bank Transfer,69.3,1656.82,1,0,No,Yes,No
CUST10068,5,Month-to-Month,Fiber Optic,Mailed Check,78.22,388.92,3,0,No,Yes,Yes
CUST10069,33,Month-to-Month,Fiber Optic,Bank Transfer,47.7,1472.76,0,0,No,Yes,Yes
CUST10070,57,Two Year,DSL,Electronic Check,58.9,3162.37,0,0,No,No,No
CUST10071,13,One Year,No,Electronic Check,64.5,813.22,4,0,No,Yes,Yes
CUST10072,33,Month-to-Month,No,Mailed Check,25.39,805.09,3,0,Yes,Yes,Yes
CUST10073,9,Two Year,Fiber Optic,Credit Card,35.97,305.6,0,0,Yes,No,Yes
CUST10074,49,Two Year,No,Credit Card,36.96,1747.61,1,0,Yes,Yes,No
CUST10075,34,Month-to-Month,No,Electronic Check,84.1,2831.61,2,0,No,Yes,Yes
CUST10076,23,Month-to-Month,DSL,Bank Transfer,71.13,1603.32,1,0,Yes,No,Yes
CUST10077,16,Month-to-Month,Fiber Optic,Credit Card,80.28,1261.91,1,1,No,Yes,Yes
CUST10078,40,One Year,Fiber Optic,Credit Card,19.01,704.01,1,0,No,No,No
CUST10079,48,Month-to-Month,DSL,Credit Card,27.91,1261.9,1,0,No,Yes,No
CUST10080,67,Month-to-Month,DSL,Electronic Check,81.58,5221.98,1,0,No,No,Yes
CUST10081,31,Two Year,DSL,Electronic Check,18.0,504.67,2,0,Yes,Yes,No
CUST10082,11,Two Year,Fiber Optic,Electronic Check,95.62,1027.61,1,1,No,No,No
CUST10083,59,Two Year,Fiber Optic,Electronic Check,19.42,1068.26,4,1,No,No,No
CUST10084,45,Two Year,Fiber Optic,Electronic Check,86.08,3595.71,1,0,No,No,Yes
CUST10085,50,One Year,DSL,Mailed Check,42.79,1981.03,2,1,No,No,No
CUST10086,7,One Year,DSL,Bank Transfer,91.22,592.78,3,0,No,No,Yes
CUST10087,22,One Year,Fiber Optic,Mailed Check,120.0,2465.24,1,1,Yes,Yes,Yes
CUST10088,55,Month-to-Month,Fiber Optic,Mailed Check,18.0,950.88,1,0,No,Yes,No
CUST10089,59,Month-to-Month,No,Electronic Check,82.38,4658.02,2,0,Yes,Yes,No
CUST10090,31,Month-to-Month,No,Electronic Check,19.8,568.12,3,0,Yes,Yes,No
CUST10091,57,One Year,No,Credit Card,75.67,3970.91,0,0,No,Yes,No
CUST10092,60,Month-to-Month,No,Bank Transfer,59.83,3527.47,0,0,No,No,Yes
CUST10093,27,Month-to-Month,No,Electronic Check,68.24,1675.32,2,0,No,No,No
CUST10094,64,One Year,Fiber Optic,Credit Card,42.21,2569.83,5,0,Yes,No,No
CUST10095,20,Month-to-Month,DSL,Credit Card,84.51,1609.17,0,0,No,Yes,No
CUST10096,17,Month-to-Month,DSL,Credit Card,28.79,468.59,3,0,No,No,Yes
CUST10097,49,Two Year,Fiber Optic,Electronic Check,96.04,4652.15,2,0,Yes,No,Yes
CUST10098,45,Two Year,DSL,Bank Transfer,54.77,2371.96,1,0,No,No,No
CUST10099,10,Month-to-Month,DSL,Credit Card,29.93,298.51,2,0,No,No,No
CUST10100,59,Month-to-Month,No,Credit Card,104.87,6107.73,2,0,No,Yes,Yes
CUST10101,14,Month-to-Month,DSL,Electronic Check,63.32,816.87,2,0,Yes,Yes,No
CUST10102,57,One Year,No,Credit Card,112.69,5935.92,3,0,No,No,Yes
CUST10103,0,Two Year,Fiber Optic,Mailed Check,95.53,0.0,1,0,No,No,Yes
CUST10104,57,Month-to-Month,Fiber Optic,Mailed Check,45.05,2411.6,0,0,No,No,No
CUST10105,56,One Year,Fiber Optic,Bank Transfer,62.88,3363.88,3,0,Yes,No,No
CUST10106,56,Month-to-Month,DSL,Credit Card,68.03,3517.29,2,0,Yes,No,No
CUST10107,47,Month-to-Month,Fiber Optic,Electronic Check,103.16,4471.47,3,0,Yes,No,No
CUST10108,33,Two Year,DSL,Bank Transfer,75.94,2351.0,1,0,No,No,No
CUST10109,50,Month-to-Month,No,Credit Card,69.41,3356.68,0,1,No,No,No
CUST10110,19,Month-to-Month,DSL,Bank Transfer,60.0,1104.45,0,0,No,Yes,Yes
CUST10111,56,Month-to-Month,DSL,Mailed Check,63.74,3560.92,1,1,No,Yes,No
CUST10112,40,One Year,Fiber Optic,Electronic Check,97.61,3592.99,2,0,No,Yes,No
CUST10113,33,Two Year,Fiber Optic,Bank Transfer,65.09,2017.56,2,0,Yes,Yes,No
CUST10114,36,Two Year,Fiber Optic,Bank Transfer,55.13,1977.67,0,0,No,No,No
CUST10115,40,Month-to-Month,Fiber Optic,Bank Transfer,50.89,1972.5,3,0,Yes,No,No
CUST10116,2,Month-to-Month,DSL,Credit Card,51.16,98.15,3,0,Yes,Yes,Yes
CUST10117,10,One Year,Fiber Optic,Bank Transfer,29.95,285.71,3,0,No,Yes,No
CUST10118,17,Month-to-Month,DSL,Bank Transfer,46.24,713.41,1,0,No,Yes,No
CUST10119,8,Two Year,DSL,Electronic Check,102.46,810.94,1,0,No,No,No
CUST10120,31,One Year,DSL,Bank Transfer,59.84,1785.57,2,1,Yes,No,Yes
CUST10121,48,Month-to-Month,DSL,Electronic Check,82.61,3795.43,2,0,Yes,Yes,No
CUST10122,47,Two Year,DSL,Bank Transfer,18.0,807.04,4,0,Yes,Yes,No
CUST10123,33,Month-to-Month,Fiber Optic,Electronic Check,79.21,2454.98,0,0,No,Yes,Yes
CUST10124,61,Month-to-Month,DSL,Credit Card,60.97,3441.97,1,0,No,Yes,No
CUST10125,40,One Year,DSL,Mailed Check,52.96,2066.57,0,0,Yes,No,No
CUST10126,5,Month-to-Month,Fiber Optic,Mailed Check,69.52,330.55,2,0,No,No,Yes
CUST10127,55,One Year,DSL,Electronic Check,52.6,2613.52,2,0,No,Yes,No
CUST10128,41,One Year,Fiber Optic,Electronic Check,18.0,693.65,0,0,Yes,Yes,No
CUST10129,45,Two Year,No,Credit Card,88.06,3934.41,1,0,Yes,Yes,No
CUST10130,40,Two Year,Fiber Optic,Mailed Check,71.08,2665.19,2,0,No,Yes,No
CUST10131,39,Month-to-Month,No,Bank Transfer,57.15,2098.07,1,0,Yes,Yes,No
CUST10132,6,Month-to-Month,DSL,Credit Card,40.85,235.88,2,1,Yes,Yes,Yes
CUST10133,40,One Year,DSL,Bank Transfer,28.25,1107.59,2,0,No,Yes,Yes
CUST10134,57,Two Year,Fiber Optic,Electronic Check,70.6,3890.78,2,0,Yes,No,No
CUST10135,21,Month-to-Month,Fiber Optic,Mailed Check,105.34,2178.97,0,0,Yes,Yes,Yes
CUST10136,43,Month-to-Month,No,Mailed Check,70.08,2746.44,3,0,No,No,Yes
CUST10137,2,Month-to-Month,DSL,Mailed Check,30.43,60.4,2,0,No,Yes,Yes
CUST10138,25,Month-to-Month,Fiber Optic,Electronic Check,70.63,1748.79,4,0,No,Yes,No
CUST10139,31,One Year,Fiber Optic,Bank Transfer,63.67,1878.86,2,0,Yes,Yes,No
CUST10140,70,Month-to-Month,DSL,Mailed Check,86.6,5834.52,0,0,No,Yes,No
CUST10141,15,One Year,DSL,Mailed Check,80.17,1107.89,3,0,Yes,Yes,No
CUST10142,19,Two Year,No,Mailed Check,18.0,323.12,1,0,Yes,No,No
CUST10143,29,Two Year,DSL,Mailed Check,78.63,2098.46,0,1,No,No,No
CUST10144,71,Month-to-Month,No,Electronic Check,39.91,2556.48,1,0,Yes,Yes,Yes
CUST10145,61,Month-to-Month,Fiber Optic,Mailed Check,29.46,1793.63,2,0,No,Yes,No
CUST10146,2,One Year,Fiber Optic,Credit Card,60.29,111.65,0,0,Yes,Yes,No
CUST10147,16,Two Year,Fiber Optic,Bank Transfer,75.27,1155.32,1,0,Yes,No,No
CUST10148,59,Month-to-Month,No,Bank Transfer,23.98,1315.82,0,0,No,Yes,Yes
CUST10149,4,Two Year,DSL,Credit Card,82.61,309.64,1,0,No,Yes,No
CUST10150,61,Month-to-Month,DSL,Bank Transfer,84.08,4820.0,2,0,No,No,No
CUST10151,20,Two Year,Fiber Optic,Electronic Check,66.17,1235.4,2,0,Yes,No,No
CUST10152,66,Month-to-Month,Fiber Optic,Mailed Check,43.31,2754.81,0,0,No,No,No
CUST10153,21,Month-to-Month,DSL,Mailed Check,40.52,847.6,1,0,No,Yes,No
CUST10154,31,Month-to-Month,DSL,Mailed Check,90.65,2649.59,1,0,No,Yes,No
CUST10155,47,Month-to-Month,DSL,Electronic Check,27.22,1275.93,2,0,Yes,Yes,No
CUST10156,9,Month-to-Month,DSL,Electronic Check,91.61,797.1,2,0,Yes,No,Yes
CUST10157,40,Month-to-Month,DSL,Mailed Check,60.87,2339.15,3,0,No,No,No
CUST10158,36,Month-to-Month,No,Credit Card,62.6,2081.67,0,0,Yes,Yes,Yes
CUST10159,56,One Year,DSL,Bank Transfer,22.3,1131.78,1,0,Yes,No,No
CUST10160,71,Month-to-Month,No,Credit Card,61.33,4289.96,0,0,No,Yes,No
CUST10161,47,One Year,No,Electronic Check,80.34,3615.12,1,0,No,No,No
CUST10162,29,Two Year,DSL,Mailed Check,31.59,862.46,2,0,No,Yes,No
CUST10163,29,Month-to-Month,Fiber Optic,Bank Transfer,77.47,2204.39,2,0,No,Yes,No
CUST10164,30,Month-to-Month,Fiber Optic,Mailed Check,67.23,1877.85,0,0,Yes,Yes,Yes
CUST10165,58,Two Year,Fiber Optic,Mailed Check,48.91,2775.4,3,0,No,No,No
CUST10166,23,Two Year,DSL,Mailed Check,86.37,1853.01,0,0,Yes,Yes,Yes
CUST10167,12,Month-to-Month,DSL,Electronic Check,18.0,214.29,1,1,Yes,Yes,No
CUST10168,24,Two Year,DSL,Credit Card,73.67,1638.65,2,0,Yes,No,No
CUST10169,1,Month-to-Month,Fiber Optic,Credit Card,105.49,96.39,1,0,Yes,No,Yes
CUST10170,7,Month-to-Month,No,Electronic Check,101.0,685.66,1,0,No,No,Yes
CUST10171,6,One Year,Fiber Optic,Mailed Check,74.75,410.95,3,1,Yes,No,No
CUST10172,55,Month-to-Month,Fiber Optic,Bank Transfer,57.46,3144.3,1,0,No,No,Yes
CUST10173,52,One Year,No,Credit Card,49.1,2465.26,0,0,No,No,No
CUST10174,50,Month-to-Month,Fiber Optic,Credit Card,57.43,2650.64,2,0,No,Yes,No
CUST10175,33,One Year,DSL,Mailed Check,78.6,2388.58,2,0,Yes,Yes,No
CUST10176,51,Month-to-Month,No,Bank Transfer,44.82,2268.42,1,0,No,Yes,No
CUST10177,11,Month-to-Month,Fiber Optic,Credit Card,83.94,887.13,0,0,No,Yes,Yes
CUST10178,64,Month-to-Month,DSL,Credit Card,118.33,7492.65,2,0,Yes,Yes,Yes
CUST10179,36,Month-to-Month,Fiber Optic,Mailed Check,63.45,2080.96,2,1,Yes,Yes,Yes
CUST10180,67,One Year,No,Credit Card,31.39,2087.44,3,1,Yes,Yes,No
CUST10181,10,Month-to-Month,DSL,Mailed Check,31.38,298.74,2,1,No,No,Yes
CUST10182,35,Month-to-Month,Fiber Optic,Electronic Check,84.41,2856.39,0,0,Yes,No,Yes
CUST10183,50,Month-to-Month,DSL,Credit Card,63.51,2976.36,0,0,No,Yes,No
CUST10184,35,Month-to-Month,DSL,Credit Card,86.92,2755.97,3,0,Yes,No,Yes
CUST10185,32,Two Year,DSL,Mailed Check,51.66,1646.17,0,0,No,Yes,No
CUST10186,11,Month-to-Month,Fiber Optic,Mailed Check,85.77,942.96,0,0,Yes,Yes,Yes
CUST10187,27,Two Year,No,Mailed Check,61.04,1543.35,3,0,No,Yes,No
CUST10188,17,Month-to-Month,DSL,Electronic Check,46.69,789.27,2,1,Yes,Yes,Yes
CUST10189,21,One Year,DSL,Credit Card,54.98,1058.49,0,0,No,Yes,Yes
CUST10190,49,Month-to-Month,DSL,Electronic Check,35.07,1573.17,5,0,Yes,No,Yes
CUST10191,45,Month-to-Month,DSL,Bank Transfer,114.73,4684.31,2,0,No,Yes,Yes
CUST10192,43,Two Year,Fiber Optic,Electronic Check,62.59,2527.54,2,0,No,Yes,No
CUST10193,26,Two Year,Fiber Optic,Bank Transfer,81.11,1909.0,2,0,No,Yes,No
CUST10194,69,Two Year,Fiber Optic,Credit Card,51.58,3343.58,2,0,Yes,Yes,No
CUST10195,6,Month-to-Month,Fiber Optic,Bank Transfer,38.7,212.19,2,0,No,No,No
CUST10196,24,Month-to-Month,Fiber Optic,Bank Transfer,59.15,1381.35,3,0,Yes,No,No
CUST10197,8,One Year,DSL,Credit Card,92.53,727.9,0,1,Yes,No,Yes
CUST10198,24,Month-to-Month,DSL,Credit Card,51.98,1208.57,1,0,Yes,No,Yes
CUST10199,69,One Year,No,Credit Card,43.24,2745.02,2,0,Yes,Yes,No
CUST10200,26,One Year,Fiber Optic,Electronic Check,68.89,1749.38,3,0,No,Yes,No
CUST10201,65,One Year,No,Bank Transfer,77.48,4658.23,1,0,No,No,No
CUST10202,35,Two Year,No,Credit Card,106.07,3623.16,3,0,No,Yes,Yes
CUST10203,50,One Year,Fiber Optic,Mailed Check,73.84,3532.28,3,0,No,Yes,No
CUST10204,32,Month-to-Month,No,Bank Transfer,81.1,2430.85,1,0,No,Yes,Yes
CUST10205,19,Month-to-Month,Fiber Optic,Electronic Check,82.98,1432.12,2,0,Yes,No,Yes
CUST10206,55,One Year,DSL,Credit Card,36.17,1955.04,3,0,No,Yes,No
CUST10207,69,Month-to-Month,DSL,Bank Transfer,40.92,2806.44,1,0,Yes,No,No
CUST10208,18,Month-to-Month,DSL,Bank Transfer,37.9,659.41,2,0,Yes,Yes,Yes
CUST10209,56,Month-to-Month,DSL,Credit Card,31.7,1768.91,2,0,No,Yes,Yes
CUST10210,18,One Year,Fiber Optic,Electronic Check,84.89,1517.95,0,0,No,Yes,No
CUST10211,51,Two Year,Fiber Optic,Mailed Check,72.25,3387.98,2,1,Yes,Yes,No
CUST10212,56,One Year,Fiber Optic,Credit Card,66.99,3650.61,1,0,No,Yes,No
CUST10213,32,Month-to-Month,Fiber Optic,Electronic Check,18.0,538.52,3,0,No,No,Yes
CUST10214,53,Month-to-Month,DSL,Credit Card,116.39,5852.54,1,1,Yes,Yes,Yes
CUST10215,19,Month-to-Month,Fiber Optic,Mailed Check,42.64,741.86,2,1,No,Yes,No
CUST10216,5,Month-to-Month,Fiber Optic,Bank Transfer,116.3,580.03,2,0,No,Yes,Yes
CUST10217,6,One Year,DSL,Bank Transfer,28.77,167.89,1,0,Yes,Yes,No
CUST10218,32,One Year,DSL,Bank Transfer,44.69,1325.24,5,1,Yes,No,No
CUST10219,64,Month-to-Month,DSL,Credit Card,18.0,1079.59,0,0,Yes,Yes,Yes
CUST10220,9,Month-to-Month,DSL,Mailed Check,74.05,627.96,4,0,No,No,Yes
CUST10221,32,Month-to-Month,No,Electronic Check,37.47,1168.77,0,0,Yes,Yes,Yes
CUST10222,50,Two Year,Fiber Optic,Mailed Check,38.17,1894.32,1,1,No,Yes,No
CUST10223,14,One Year,Fiber Optic,Bank Transfer,30.69,400.5,1,0,Yes,No,No
CUST10224,51,Month-to-Month,DSL,Credit Card,84.43,4078.79,1,0,No,Yes,No
CUST10225,22,Two Year,No,Credit Card,82.79,1747.29,3,0,No,No,No
CUST10226,58,Month-to-Month,Fiber Optic,Mailed Check,110.3,6009.3,3,0,Yes,Yes,No
CUST10227,41,Month-to-Month,DSL,Credit Card,47.86,1864.97,1,0,No,Yes,No
CUST10228,39,Two Year,Fiber Optic,Electronic Check,70.47,2502.55,2,0,No,No,No
CUST10229,12,Month-to-Month,Fiber Optic,Electronic Check,32.77,360.51,2,0,No,Yes,Yes
CUST10230,33,Month-to-Month,Fiber Optic,Electronic Check,56.62,1756.56,1,1,No,No,Yes
CUST10231,61,One Year,DSL,Credit Card,52.03,3146.83,3,0,Yes,No,No
CUST10232,1,Month-to-Month,Fiber Optic,Electronic Check,76.61,71.63,5,0,No,Yes,Yes
CUST10233,54,One Year,DSL,Bank Transfer,90.43,4516.88,2,0,No,Yes,No
CUST10234,35,Month-to-Month,DSL,Credit Card,89.78,3061.5,1,0,Yes,No,No
CUST10235,51,Month-to-Month,DSL,Credit Card,43.93,2229.03,2,1,Yes,Yes,Yes
CUST10236,47,Month-to-Month,No,Credit Card,89.96,3999.43,1,0,Yes,No,No
CUST10237,31,Month-to-Month,DSL,Electronic Check,63.9,1784.51,3,0,No,Yes,Yes
CUST10238,22,Month-to-Month,Fiber Optic,Mailed Check,56.89,1212.55,0,0,No,Yes,Yes
CUST10239,45,Month-to-Month,DSL,Bank Transfer,47.29,2003.57,3,0,Yes,Yes,No
CUST10240,10,Two Year,No,Bank Transfer,51.0,493.36,1,0,No,No,No
CUST10241,42,Month-to-Month,Fiber Optic,Bank Transfer,108.56,4230.19,0,0,No,No,Yes
CUST10242,6,Month-to-Month,No,Bank Transfer,72.69,392.63,0,0,Yes,No,Yes
CUST10243,46,Month-to-Month,DSL,Mailed Check,69.37,2981.85,0,0,No,Yes,Yes
CUST10244,45,Month-to-Month,DSL,Electronic Check,58.44,2552.17,0,0,No,Yes,No
CUST10245,6,Month-to-Month,Fiber Optic,Mailed Check,120.0,676.3,2,0,Yes,Yes,Yes
CUST10246,54,One Year,DSL,Mailed Check,97.63,4860.37,3,0,No,Yes,Yes
CUST10247,29,Month-to-Month,No,Bank Transfer,46.97,1289.12,0,1,No,Yes,Yes
CUST10248,56,Two Year,No,Credit Card,58.16,3176.3,1,0,Yes,Yes,No
CUST10249,2,Two Year,Fiber Optic,Bank Transfer,59.64,108.78,4,0,Yes,Yes,Yes
CUST10250,12,Month-to-Month,No,Bank Transfer,68.65,798.41,5,0,Yes,Yes,No
CUST10251,35,Month-to-Month,Fiber Optic,Electronic Check,47.47,1606.18,0,0,Yes,No,Yes
CUST10252,13,Month-to-Month,DSL,Bank Transfer,75.97,925.46,1,0,Yes,Yes,No
CUST10253,23,One Year,Fiber Optic,Mailed Check,101.3,2322.99,0,0,No,No,No
CUST10254,47,Month-to-Month,DSL,Electronic Check,32.16,1495.6,3,0,Yes,Yes,Yes
CUST10255,10,Two Year,No,Electronic Check,36.8,342.83,2,0,No,Yes,Yes
CUST10256,48,One Year,DSL,Credit Card,52.92,2294.04,1,0,No,No,No
CUST10257,7,Two Year,DSL,Credit Card,54.08,352.38,3,0,Yes,Yes,No
CUST10258,12,Month-to-Month,Fiber Optic,Bank Transfer,114.96,1269.81,3,0,No,No,Yes
CUST10259,42,Two Year,DSL,Credit Card,90.04,3610.47,0,0,Yes,Yes,No
CUST10260,57,Month-to-Month,DSL,Electronic Check,88.61,5009.73,1,1,No,Yes,No
CUST10261,12,Month-to-Month,Fiber Optic,Mailed Check,58.39,691.59,2,0,Yes,No,No
CUST10262,21,Month-to-Month,DSL,Credit Card,57.84,1130.32,1,0,Yes,Yes,Yes
CUST10263,66,Two Year,Fiber Optic,Electronic Check,28.71,1786.59,1,0,No,Yes,No
CUST10264,71,One Year,DSL,Bank Transfer,84.54,5424.04,0,0,No,Yes,No
CUST10265,41,Two Year,DSL,Electronic Check,77.28,3024.05,6,0,No,Yes,No
CUST10266,32,Month-to-Month,DSL,Mailed Check,97.15,2817.62,0,1,No,Yes,Yes
CUST10267,24,Two Year,Fiber Optic,Mailed Check,59.73,1424.72,2,0,Yes,No,No
CUST10268,44,Month-to-Month,No,Mailed Check,61.46,2668.26,1,0,No,Yes,Yes
CUST10269,42,Month-to-Month,DSL,Credit Card,69.25,2679.95,2,0,Yes,No,Yes
CUST10270,21,Two Year,No,Credit Card,87.3,1778.19,2,0,Yes,Yes,Yes
CUST10271,1,Month-to-Month,Fiber Optic,Bank Transfer,28.24,27.02,3,0,No,Yes,Yes
CUST10272,10,Month-to-Month,Fiber Optic,Bank Transfer,83.4,817.43,2,0,Yes,Yes,Yes
CUST10273,69,One Year,Fiber Optic,Electronic Check,64.49,4216.49,1,0,No,No,Yes
CUST10274,30,Month-to-Month,Fiber Optic,Electronic Check,38.53,1062.48,1,1,Yes,No,Yes
CUST10275,34,Month-to-Month,No,Electronic Check,18.0,589.96,3,0,Yes,Yes,Yes
CUST10276,33,Month-to-Month,Fiber Optic,Credit Card,61.59,1845.54,2,0,Yes,Yes,Yes
CUST10277,56,Month-to-Month,Fiber Optic,Electronic Check,101.19,5431.24,1,1,No,No,No
CUST10278,4,Two Year,DSL,Mailed Check,106.87,393.82,2,0,No,Yes,No
CUST10279,5,One Year,DSL,Credit Card,73.88,357.76,1,0,Yes,Yes,Yes
CUST10280,19,Month-to-Month,Fiber Optic,Bank Transfer,114.05,2129.69,2,0,Yes,No,Yes
CUST10281,35,Month-to-Month,DSL,Bank Transfer,63.93,2038.3,1,1,Yes,Yes,No
CUST10282,48,Month-to-Month,DSL,Electronic Check,88.83,4008.12,1,0,No,No,No
CUST10283,35,One Year,DSL,Bank Transfer,53.72,1830.1,2,0,No,No,No
CUST10284,31,Two Year,DSL,Bank Transfer,52.14,1481.17,2,0,Yes,Yes,No
